price,page,Y
23000,432,computer
17000,416,computer
23000,304,computer
22000,560,computer
32000,480,computer
20000,332,computer
13000,210,computer
28000,350,computer
27000,266,computer
28000,366,computer
17000,238,computer
28000,552,computer
18000,320,computer
28000,384,computer
27000,400,computer
20000,198,computer
25000,526,computer
18000,264,computer
24000,446,computer
30000,363,computer
30000,455,computer
17000,192,computer
20000,182,computer
13000,149,computer
22000,332,computer
30000,374,computer
23000,204,computer
35000,462,computer
30000,394,computer
23000,420,computer
38000,776,computer
17000,192,computer
25000,308,computer
25000,234,computer
28000,452,computer
23000,268,computer
26000,328,computer
35000,620,computer
15000,244,computer
25000,320,computer
58000,1656,computer
38000,690,computer
17000,184,computer
23000,364,computer
28000,356,computer
17000,232,computer
30000,288,computer
22000,444,computer
28000,388,computer
27000,403,computer
25000,416,computer
13800,208,computer
42000,928,computer
68000,1448,computer
25000,520,computer
18000,224,computer
40000,424,computer
14000,144,computer
42000,756,computer
23000,272,computer
44000,1032,computer
36000,528,computer
25000,248,computer
27000,401,computer
21000,376,computer
25000,366,computer
28000,308,computer
25000,504,computer
18000,224,computer
26000,384,computer
30000,384,computer
20000,288,computer
30000,384,computer
32000,532,computer
22000,399,computer
22000,432,computer
25000,336,computer
35000,400,computer
22000,308,computer
22000,320,computer
15000,108,computer
24000,416,computer
27500,472,computer
20000,344,poem
22000,480,poem
8000,136,poem
22000,860,poem
8000,152,poem
12000,178,poem
10000,128,poem
13000,178,poem
10000,176,poem
15000,360,poem
10000,108,poem
20000,400,poem
8000,118,poem
10000,105,poem
6000,102,poem
5000,146,poem
10000,144,poem
15800,240,poem
33000,541,poem
12000,178,poem
16000,280,poem
8000,153,poem
15000,364,poem
14000,244,poem
10000,176,poem
10000,142,poem
12800,192,poem
12000,220,poem
12000,190,poem
12000,184,poem
13000,240,poem
13000,293,poem
20000,439,poem
33000,478,poem
20000,296,poem
30000,596,poem
16000,382,poem
20000,452,poem
8000,124,poem
16000,194,poem
6180,132,poem
12000,142,poem
15000,272,poem
15000,146,poem
40000,800,poem
17000,289,poem
16000,320,poem
18000,416,poem
20000,415,poem
20000,410,poem
20000,399,poem
20000,443,poem
14000,232,poem
20000,660,poem
13000,248,poem
24000,307,poem
12000,196,poem
8000,123,poem
20000,468,poem
11000,301,poem
28000,493,poem
10000,126,poem
40000,444,poem
10000,141,poem
15000,336,poem
12000,168,poem
15000,304,poem
15000,248,poem
10000,142,poem
12000,173,poem
10000,168,poem
10000,157,poem
17500,324,poem
16000,287,poem
15000,118,poem
10000,155,poem
10000,159,poem
10000,158,poem
8000,394,poem
9000,244,poem
10000,118,poem
10000,154,poem
25000,312,poem
12000,219,poem
15000,297,poem
18000,200,poem
20000,396,poem
19000,470,poem
12000,160,poem
10000,288,poem
18000,394,poem
15000,208,poem
20000,560,poem
